n,J,magnitude,noise_label,rho,valid_runs,top1_rwa,top2_rwa,top3_rwa,top1_pls,top2_pls,top3_pls
50,2,low,low,0.0,1000,1.0,1.0,1.0,1.0,1.0,1.0
50,2,medium,medium,0.5,1000,1.0,1.0,1.0,1.0,1.0,1.0
50,2,high,high,0.95,1000,1.0,1.0,1.0,1.0,1.0,1.0
50,11,low,medium,0.95,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
50,11,medium,high,0.0,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
50,11,high,low,0.5,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
50,20,low,high,0.5,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
50,20,medium,low,0.95,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
50,20,high,medium,0.0,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
275,2,low,medium,0.95,1000,1.0,1.0,1.0,1.0,1.0,1.0
275,2,medium,high,0.5,1000,1.0,1.0,1.0,1.0,1.0,1.0
275,2,high,low,0.0,1000,1.0,1.0,1.0,1.0,1.0,1.0
275,11,low,high,0.0,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
275,11,medium,low,0.5,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
275,11,high,medium,0.95,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
275,20,low,low,0.5,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
275,20,medium,medium,0.95,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
275,20,high,high,0.0,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
500,2,low,high,0.0,1000,1.0,1.0,1.0,1.0,1.0,1.0
500,2,medium,low,0.95,1000,1.0,1.0,1.0,1.0,1.0,1.0
500,2,high,medium,0.5,1000,1.0,1.0,1.0,1.0,1.0,1.0
500,11,low,low,0.95,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
500,11,medium,medium,0.0,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
500,11,high,high,0.5,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
500,20,low,medium,0.0,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
500,20,medium,high,0.5,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
500,20,high,low,0.95,1000,1.0,1.0,1.0,1.0,1.0,0.6666666666666665
