n,J,magnitude,noise_label,rho,valid_runs,top1_rwa,top2_rwa,top3_rwa,top1_pls,top2_pls,top3_pls
50,7,low,low,0.0,1000,0.781,0.5695,0.5543333333333342,1.0,0.6355,0.6023333333333333
50,7,low,low,0.5,166,0.6686746987951807,0.5963855421686747,0.5622489959839359,1.0,0.786144578313253,0.6807228915662659
50,7,low,low,0.95,56,0.5892857142857143,0.6160714285714286,0.5833333333333334,0.9821428571428571,0.9464285714285714,0.6964285714285713
50,7,low,medium,0.0,1000,0.688,0.546,0.5430000000000006,0.997,0.62,0.5823333333333339
50,7,low,medium,0.5,166,0.5421686746987951,0.572289156626506,0.5642570281124499,0.9879518072289156,0.7530120481927711,0.658634538152611
50,7,low,medium,0.95,56,0.5535714285714286,0.6071428571428571,0.6011904761904764,1.0,0.9107142857142857,0.6964285714285713
50,7,low,high,0.0,1000,0.521,0.4865,0.530666666666667,0.908,0.592,0.5610000000000018
50,7,low,high,0.5,166,0.39759036144578314,0.49698795180722893,0.5502008032128515,0.7891566265060241,0.6867469879518072,0.6084337349397593
50,7,low,high,0.95,56,0.44642857142857145,0.5892857142857143,0.5773809523809526,0.9107142857142857,0.8482142857142857,0.6726190476190476
50,7,medium,low,0.0,1000,0.778,0.5695,0.5583333333333343,1.0,0.6395,0.6056666666666672
50,7,medium,low,0.5,166,0.6686746987951807,0.5813253012048193,0.5662650602409639,1.0,0.786144578313253,0.68273092369478
50,7,medium,low,0.95,56,0.5892857142857143,0.6428571428571429,0.5952380952380952,0.9821428571428571,0.9464285714285714,0.7023809523809522
50,7,medium,medium,0.0,1000,0.751,0.5625,0.5496666666666674,1.0,0.632,0.593666666666667
50,7,medium,medium,0.5,166,0.5963855421686747,0.5873493975903614,0.5682730923694779,1.0,0.7771084337349398,0.6686746987951814
50,7,medium,medium,0.95,56,0.5714285714285714,0.5982142857142857,0.5952380952380952,0.9821428571428571,0.9464285714285714,0.6964285714285713
50,7,medium,high,0.0,1000,0.688,0.546,0.5430000000000006,0.997,0.62,0.5823333333333339
50,7,medium,high,0.5,166,0.5421686746987951,0.572289156626506,0.5642570281124499,0.9879518072289156,0.7530120481927711,0.658634538152611
50,7,medium,high,0.95,56,0.5535714285714286,0.6071428571428571,0.6011904761904764,1.0,0.9107142857142857,0.6964285714285713
50,7,high,low,0.0,1000,0.774,0.5715,0.5590000000000012,1.0,0.6395,0.6093333333333338
50,7,high,low,0.5,166,0.6686746987951807,0.5813253012048193,0.5702811244979922,1.0,0.786144578313253,0.68273092369478
50,7,high,low,0.95,56,0.5892857142857143,0.6428571428571429,0.6011904761904762,0.9821428571428571,0.9464285714285714,0.6964285714285713
50,7,high,medium,0.0,1000,0.776,0.568,0.5526666666666675,1.0,0.637,0.6013333333333334
